Sim_num	Dist	MRATE	oriLat	oriLon	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13
12199	17.7177	0.0034196	1.85502	16.6732	1.46158	-0.37692	-1.65836	-3.30074	-0.683364	1.31349	-0.0109495	0.633364	-0.834753	-0.205909	0.412249	0.0307768	0.0142175
12377	14.2622	0.00516557	3.93107	20.4785	4.58307	-2.18415	-0.242131	-5.65716	-2.5031	0.565665	-1.43808	1.01565	-1.57959	-1.66235	0.161109	-0.564603	0.813222
12434	11.5351	0.00779147	1.14654	19.8405	2.39161	-2.63285	-2.02385	-4.1416	-1.77763	1.36269	-0.909235	2.96015	-1.81579	-1.4041	0.340222	-0.0646152	-0.472253
12614	7.98588	0.00945256	3.23171	17.7736	3.03627	-1.61589	-0.885113	-5.87529	-2.17325	1.99953	0.113829	0.344831	-0.750342	-1.1931	0.745055	0.590759	-1.14068
12628	9.53191	0.00872363	4.03023	10.4211	0.552454	-0.892764	0.147173	-3.81819	-2.48417	1.19635	0.176316	0.866679	-0.38166	-0.629283	0.233191	-0.275629	-0.960449
12711	16.256	0.00744168	2.50704	13.2928	1.50582	-2.28752	-0.253713	-5.58407	-1.49393	1.48959	-0.447059	0.398893	0.672171	0.145277	1.85293	1.65776	-0.0934328
12739	15.5958	0.00722834	5.12846	10.7863	1.95647	-1.79583	-0.460997	-3.8212	-0.543048	1.57722	0.894404	0.117173	1.28212	-1.80709	0.931637	-0.0305751	-0.751135
13115	14.7738	0.00436065	5.51752	16.1079	3.26305	-1.09128	-0.986261	-3.85326	-0.687547	2.06288	0.897136	1.1524	-0.704202	-1.53123	1.42337	1.29995	-1.07541
13237	16.9752	0.00525956	7.41562	19.116	2.51641	-1.21627	-1.71561	-3.45005	-2.22199	1.02516	-0.666933	0.442778	-0.512223	0.334701	0.386964	0.908644	0.484034
13384	14.3854	0.00552015	2.57277	18.2475	2.30968	-1.3207	-1.31692	-4.1231	-2.04977	1.50096	0.62961	1.39467	0.029778	0.43741	-0.171008	0.0262903	-0.43393
13441	8.57596	0.00548418	2.32174	18.1088	1.46533	-1.89635	-1.50984	-6.00379	-1.53153	1.98126	-0.149021	-0.27565	-0.0406718	-2.61444	0.624851	0.0281839	-0.122093
13536	11.0146	0.0046803	0.53522	15.9694	1.87174	-1.02464	0.70287	-3.17999	-2.81546	2.1171	0.842982	0.543799	-0.500063	-2.25979	-0.380652	1.50865	-0.183907
13610	13.2483	0.0030688	0.501384	19.0402	2.75855	-2.09874	0.560864	-3.42457	-3.14211	0.38536	-2.07461	1.49176	-2.3472	-2.78663	-0.212046	-0.278823	0.527504
13658	12.335	0.00927292	1.62701	17.3037	2.09664	-2.39749	-0.918266	-4.74293	-2.05422	1.3833	-0.233074	2.77547	-0.711043	0.439487	0.00471987	0.112255	-0.129496
13750	17.5905	0.0068646	3.28366	13.809	2.43685	-0.829013	-1.28152	-3.33061	-3.40551	0.721398	-1.83418	0.767851	-0.880338	-0.66318	-0.600292	0.598489	-1.18326
13813	8.00603	0.0080527	3.33339	21.0721	2.81198	-2.81351	-0.382723	-6.33938	-1.97795	1.5536	-0.0429398	0.440305	-0.16812	-2.21895	0.81046	0.493684	-1.18014
13935	16.6638	0.00318149	3.2642	20.1168	2.34446	-2.03307	1.92064	-5.32166	-2.8097	1.37916	0.494752	0.564112	-0.476943	0.84718	0.528362	-0.330271	-0.153989
14074	7.33778	0.00303488	2.29834	18.8754	2.40589	-1.13587	0.202093	-3.26058	-2.99245	0.972666	-0.365571	1.03563	-1.58886	-1.27981	0.0191275	-0.0993218	-0.177171
14099	13.501	0.007032	2.98674	19.3776	2.96234	-1.00478	-2.18551	-3.864	-1.2533	1.91323	0.202418	0.230233	-0.570049	-1.25388	0.395881	-0.09806	-0.209018
14335	13.7784	0.00526032	4.00366	20.4471	2.94774	-2.02505	-1.91035	-4.13262	-1.81108	0.958289	-1.25352	0.109087	-0.488091	-0.894908	-0.173913	0.178087	-0.431224
14671	16.3286	0.00227214	2.99243	21.2888	4.16581	-3.24864	-0.170407	-5.14588	-1.47996	1.34751	0.65975	-0.0285628	0.13729	-3.20902	2.23688	0.189024	0.0375073
15051	10.1701	0.00554318	1.2992	16.6611	3.74141	-2.00068	0.249314	-4.54733	-1.62971	1.36798	0.623227	1.07437	0.11092	-1.23474	0.514206	0.361226	-0.805269
15385	12.7176	0.00515728	3.5859	20.1909	1.74854	-2.00774	-2.35431	-4.48067	-3.0211	0.887256	-0.991541	1.25082	-0.580556	-0.874967	-0.769614	-0.308159	0.794928
15408	10.9565	0.0080884	6.47465	20.423	2.23644	-0.846556	-1.92519	-4.11928	-2.46777	2.48554	1.25686	1.11544	-1.66842	-0.983025	0.967306	-0.721543	-0.25386
15572	13.0842	0.00607039	3.96279	21.1402	2.9688	-2.0329	-2.68354	-4.83594	-1.99569	1.26122	-0.0218942	0.0498168	-0.117308	-1.60952	0.373715	-0.0548285	-0.654285
15883	15.901	0.00551706	4.50375	9.26959	2.53187	-0.593661	1.57572	-2.98381	-3.46827	1.31043	-0.536279	0.662757	-0.618011	-1.27532	1.38144	1.47161	-1.12236
15926	15.81	0.00360404	5.70473	20.5922	3.81033	-2.7619	-1.52775	-4.3506	-1.5918	0.995341	-1.11397	-0.11052	-0.921068	-2.05691	1.54783	1.15367	1.10473
